A_KEY_TIME_MEAN,BOTH_DEV_CC_COUNT,GAP_D1,GAP_D5,GAP_SD,KEY_COUNT,KEY_TIME,MANY_KEYS_BY_KEY_PRESSED,MOUSE_COUNT,MOUSE_DDIR_D1,MOUSE_DDIR_D2,MOUSE_DDIR_D3,MOUSE_DIR_D1,MOUSE_DIR_D5,MOUSE_DIR_D6,MOUSE_DIST_D1,MOUSE_DIST_D2,MOUSE_DIST_D3,MOUSE_DIST_D4,MOUSE_DIST_D5,MOUSE_DIST_D6,MOUSE_DIST_D7,MOUSE_GAP_D1,MOUSE_GAP_D2,MOUSE_GAP_D3,MOUSE_SPEED_D1,MOUSE_SPEED_D2,MOUSE_SPEED_D3,MOUSE_SPEED_D5,MULTIPLE_KEYS_DOWN,MULTIPLE_KEYS_DOWN_D1,MULTIPLE_KEYS_UP,MULTIPLE_KEYS_UP_D1
0.081,0.125,0.058,0.092,1.388,179.0,0.1,0.061,51,0.382,0.004,0.129,18.807,112.237,181.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.01,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
0.08,0.125,0.054,0.092,1.29,208.0,0.1,0.053,51,0.382,0.004,0.129,18.807,112.237,181.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.01,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
0.079,0.1,0.054,0.092,1.25,226.0,0.1,0.049,55,0.42,0.003,0.094,18.807,112.237,181.521,0.0,0.0,0.0,0.0,0.0,0.0,113.04,0.002,0.003,0.01,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
0.079,0.1,0.052,0.088,1.166,260.0,0.1,0.042,55,0.42,0.003,0.094,18.807,112.237,181.521,0.0,0.0,0.0,0.0,0.0,0.0,113.04,0.002,0.003,0.01,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0
0.079,0.25,0.05,0.088,1.138,279.0,0.1,0.039,59,0.438,0.002,0.073,18.807,112.237,181.521,0.0,0.0,0.0,0.0,0.0,0.0,113.04,0.001,0.003,0.01,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
0.079,0.308,0.05,0.088,1.1,304.0,0.1,0.036,60,0.394,0.002,0.066,18.807,112.237,212.612,0.0,0.0,0.0,0.0,0.0,0.0,113.04,0.001,0.003,0.01,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0
0.079,0.286,0.052,0.088,1.082,322.0,0.1,0.034,64,0.449,0.002,0.06,18.807,112.237,181.521,0.0,0.0,0.0,0.0,0.0,0.0,113.04,0.002,0.003,0.01,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0
0.08,0.333,0.052,0.088,1.054,346.0,0.1,0.032,68,0.455,0.002,0.051,18.807,112.237,181.521,0.0,0.0,0.0,0.0,0.0,0.0,113.04,0.001,0.003,0.01,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
0.079,0.333,0.052,0.088,1.018,375.0,0.0,0.029,68,0.455,0.002,0.051,18.807,112.237,181.521,0.0,0.0,0.0,0.0,0.0,0.0,113.04,0.001,0.003,0.01,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
0.08,0.312,0.05,0.088,0.983,408.0,0.0,0.027,69,0.424,0.001,0.047,18.807,112.237,212.612,0.0,0.0,0.0,0.0,0.0,0.0,113.04,0.001,0.003,0.01,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
